text,lang,timestamp,sentiment,score,source
"Ruben Amorim Tenangin Kritik, Manchester United Menang dan Catat Clean Sheet di Laga ke-50
gobetnews.com/ruben-amorim-t
…",id,,Neutral,0.0,
"Debut Sempurna Senne Lammens: Clean Sheet dan Pujian-Pujian!
gobetnews.com/debut-sempurna
…",id,,Neutral,0.0,
Intense moment for Ruben Amorim! That focused look on the sidelines shows he's deep in the game—hope Manchester United pulls through against Sunderland!,en,,Positive,0.125,
"| NEW: Manchester United didn't plan to sack Ruben Amorim even if he was to lose against Sunderland, Unless something completely crazy happens like a 4-0 or 5-0 defeat. [
@FabrizioRomano
]",en,,Negative,-0.2318181818181818,
Nice artwork! Sir Jim Ratcliffe backing Ruben Amorim for a full season at Manchester United shows confidence in his leadership—hope he turns things around at Old Trafford!,en,,Positive,0.4083333333333334,
Gary Neville on Manchester United: Ruben Amorim 'not off the hook' despite Sunderland win | Football News | Sky Sports,en,,Positive,0.8,
"If that was Ruben Amorim at Manchester United, he’d get absolutely slaughtered lol",en,,Positive,0.5,
Mason Mount reveals the #mufc squad’s views on Rúben Amorim after 2-0 Sunderland win,en,,Positive,0.8,
"Manchester United co-owner Sir Jim Ratcliffe believes boss Ruben Amorim is deserving of a full season in charge at Old Trafford.

(Source: The I)",en,,Positive,0.35,
Both Thibaut Courtois and André Onana have made more assists than Florian Wirtz this season.,en,,Positive,0.5,
"The post shares news that Xavi Hernandez (ex-Barcelona manager) has told his reps to reject Saudi club offers, amid links to potentially replacing Ruben Amorim at Manchester United if Amorim is sacked. Xavi's been studying the Premier League and is open to the role, even without",en,,Positive,0.0333333333333333,
Xavi gives instructions to representatives amid Manchester United links.,en,,Neutral,0.0,
"Yes, Wayne Rooney said something very similar on his BBC show, criticizing Arne Slot's tactics (like playing players out of position) after recent losses, stating that if Ruben Amorim did the same at Manchester United, he'd get ""absolutely slaughtered.""",en,,Positive,0.05,
"| Wayne Rooney on Arne Slot’s tactics that have resulted in 3 consecutive losses: 

“If that was Ruben Amorim at Manchester United, he’d get absolutely slaughtered.”",en,,Positive,0.2,
"Gary Neville on Ruben Amorim saying outside noise from the media is getting to the players' heads: 

I’ve not got a lot of time for that. For a start, if pundits are getting in your head, you shouldn’t be playing for Manchester United. Simple as that.

Do people not remember",en,,Neutral,0.0,
Rangers are set to sack Russell Martin with club prepared for formal steps after internal decision made.,en,,Neutral,0.0,
"He can’t iglish 
Half team or more 
No iglish .
Mercinaries 
Too the shirt .


How he tell players instructions??.
10 interpreters 
In room .??

Waste of money .

Can’t speak English 
Only 
Signed up 
Biggest club my career etc 
Want me to.

Busby babes in heaven curse you lot 
In it for $$$",en,,Positive,0.0266666666666666,
"He can’t iglish 
Half team or more 
No iglish .
Mercinaries 
Too the shirt .


How he tell players instructions??.
10 interpreters 
In room .??

Waste of money .

Can’t speak English 
Only 
Signed up 
Biggest club my career etc 
Want me to.

Busby babes in heaven curse you lot 
In it for $$$",en,2025-10-06 03:42:19.886187,Positive,0.0266666666666666,
Goal keeper is confident and best we had in a long time,en,2025-10-06 03:42:19.886202,Positive,0.4833333333333333,
Play proper against Liverpool ...,en,2025-10-06 03:42:19.886207,Neutral,0.0,
"And there is much to come ... Fletcher, Koné, JJ Gabriel, Chido, and Shay Lacey (!) & Biancheri... so lets build up organically",en,2025-10-06 03:42:19.886210,Positive,0.1,
Liverpool would suffer by this long balls ... the momentum should be there as you begin to work/play football ... 10 Zlatans each week <3,en,2025-10-06 03:42:19.886213,Positive,0.475,
"""There is no momentum with our team"" 

He so real for that😂😂

The way he laughed before he said it too.... what a guy.",en,2025-10-06 03:42:19.886215,Positive,0.4499999999999999,
Man United are back 🎉🎉🎉🎉,en,2025-10-06 03:42:19.886217,Neutral,0.0,
Way to go Coach👏🏾👏🏾👏🏾👏🏾,en,2025-10-06 03:42:19.886220,Neutral,0.0,
Manchester United scouts where are they?,en,2025-10-06 03:42:19.886223,Neutral,0.0,
Sesko really gives our number 10’s and wing backs another dimension. We have a striker the team can play off now from the goalkeeper to the centre backs with the long balls and from the midfield to the attack on the feet 🙏,en,2025-10-06 03:42:19.886226,Positive,0.075,
Amorim is a football genius,en,2025-10-06 03:42:19.886229,Neutral,0.0,
Defo winning the champions league this year,en,2025-10-06 03:42:19.886231,Positive,0.5,
"We need to kill games more. Score more goals and stop the complacent performance. Mbuemo, Amad and Cunha should try and pass more to Sesko. It will solve these problems. Amorim needs to give some game time to our reserve attackers like Obi and Zirkzee.",en,2025-10-06 03:42:19.886234,Positive,0.275,
The next game has become very interesting because after this weekend it has now become a must win for Liverpool.,en,2025-10-06 03:42:19.886236,Positive,0.2625,
Isint it mental we’re equal points with city but only one of the mancunian managers is on the chopping block,en,2025-10-06 03:42:19.886238,Negative,-0.0333333333333333,
Man united❤,en,2025-10-06 03:42:19.886240,Neutral,0.0,
"United fans are something else last week everyone wants to sack ruben 
This week everyone point blank forgets last weeks feelings 
We need to back ruben fully not only when he wins us games",en,2025-10-06 03:42:19.886242,Positive,0.0714285714285714,
yaa you have to see notgood things🧐🧐🤔🤔🤔❤‍🩹,en,2025-10-06 03:42:19.886244,Neutral,0.0,
Amad superhero Mbeumo and Sesko superb and a solid performance by the goalkeeper 👏,en,2025-10-06 03:42:19.886245,Positive,0.5,
I don't know why but it really frustrates me when people can't just say Amad's name normally,en,2025-10-06 03:42:19.886247,Positive,0.175,
Always the same  conversations 😢😢😢is  very  sad    !!!!!,en,2025-10-06 03:42:19.886249,Negative,-0.5,
Finally we have a goalkeeper,en,2025-10-06 03:42:19.886251,Neutral,0.0,
"yes, playing 11 against 11 is really different than 10 against 12.",en,2025-10-06 03:42:19.886253,Neutral,0.0,
"Still, to maintain consistency, get rid of the numero uno traitor, the whining capitano, the sooner the better!",en,2025-10-06 03:42:19.886255,Positive,0.625,
Mounts Football IQ is on a different level🤞🏼,en,2025-10-06 03:42:19.886257,Neutral,0.0,
Why aren't there system lads 😂😂😂,en,2025-10-06 03:42:19.886259,Neutral,0.0,
Let’s see how the results of the next five games before conclude that Man U has turned the corner.,en,2025-10-06 03:42:19.886261,Neutral,0.0,
Amorim said they tried to kill the game in the 2nd half? They scored nothing in the 2nd half. So much for effort. Sunderland is a newly promoted team mind you!,en,2025-10-06 03:42:19.886263,Negative,-0.0518398268398268,
GD is still a major problem,en,2025-10-06 03:42:19.886266,Positive,0.0625,
"Manchester United Fans are the most impatient fans ever, few games and they already talking about replacing the coach, no team is playing their best football right now, but they not calling for their coaches to be replaced",en,2025-10-06 03:42:19.886268,Positive,0.2771428571428571,
GGMU.. Great performance ❤❤,en,2025-10-06 03:42:19.886270,Positive,0.8,
please stop playing dalot as left wing back 😅,en,2025-10-06 03:42:19.886272,Neutral,0.0,
"ok amorim you won, now leave on high note. Don’t delay the inevitable.",en,2025-10-06 03:42:19.886274,Positive,0.22,
Why nobody is talking about the SYSTEM ??? Where is the finger wagging bunch ?? 🤔,en,2025-10-06 03:42:19.886276,Neutral,0.0,
That's part of money grabber agenda 😂😂😂,en,2025-10-06 03:42:19.886279,Neutral,0.0,
"That formation will only work if the team had WBacks like Hakimi and Alfonso Davies. Brazil 2002 used that formation, guess who were the Wingbacks...",en,2025-10-06 03:42:19.886281,Neutral,0.0,
What a great remark by giving it back to the media about why Lammens didn't start earlier!,en,2025-10-06 03:42:19.886283,Positive,0.2666666666666666,
I think maguire and delight together is a failure. We should only deploy one of them.,en,2025-10-06 03:42:19.886358,Negative,-0.1583333333333333,
"Don't worry,  Litcha is coming to partner De ligt to bring the aggressive part of back 3",en,2025-10-06 03:42:19.886362,Neutral,0.0,
"Praying this man pulls off the upset against Liverpool, much easier run of games through till Christmas after that, hopefully the club will have enough for baleba by then",en,2025-10-06 03:42:19.886365,Positive,0.1,
"Exactly what we've been missing really 
Players can now play and attack freely, knowing that they have a shot stopper at the goal
Never underestimate what a goalkeeper can bring on the table",en,2025-10-06 03:42:19.886367,Positive,0.1625,
A win today I didn't celebrate until we meet Liverpool,en,2025-10-06 03:42:19.886369,Positive,0.8,
When we win. No formation questions.,en,2025-10-06 03:42:19.886371,Positive,0.8,
There is no momentum in this team 🤣🤣🤣,en,2025-10-06 03:42:19.886373,Neutral,0.0,
Bro has beaten Sunderland at home… can we all calm down a little,en,2025-10-06 03:42:19.886375,Negative,-0.0143518518518518,
"Yeah true , We have found our new no.1",en,2025-10-06 03:42:19.886377,Positive,0.2431818181818181,
Too hype for lammens debut. Keep it down guys,en,2025-10-06 03:42:19.886380,Negative,-0.1555555555555555,
"The goal keeper right at the start was near left back sweeping a long ball. 

Then he claimed a cross. 

Then he did a long pass to Amad 

Then he was off his line super quick at the end and the commentator said ""oh no he hit it straight at the goal keeper"". No, he did not, he hit it and Senne had closed the shooting lane. 

Also that save where he tipped it into the post, 100% Onana or bayandir let that in.",en,2025-10-06 03:42:19.886382,Positive,0.0956709956709956,
Amorim need learn counter preesing from Glasner or Klopp.,en,2025-10-06 03:42:19.886384,Neutral,0.0,
Winning against Sunderland is nothing 😂😂😂,en,2025-10-06 03:42:19.886386,Positive,0.5,
"Lammens almost gave away a penalty and collided with bruno.
For those who watched whole game we need more matches.",en,2025-10-06 03:42:19.886387,Positive,0.0999999999999999,
hey people    its  sunderland    lol   calm down     our players cost ten times as much and get paid ten times as much,en,2025-10-06 03:42:19.886390,Positive,0.192063492063492,
Amorim should win this Premier League no excuses,en,2025-10-06 03:42:19.886392,Positive,0.8,
lmao how can someone take a team which finished 15th and make 3 signings and win premier league lmaooo,en,2025-10-06 03:42:19.886394,Positive,0.7,
"It all means nothing unless it can be replicated more consistently. Not expecting a win at Anfield , but a performance is needed.",en,2025-10-06 03:42:19.886396,Positive,0.3916666666666666,
"We can keep on winning guys cos the man with the cleansheet luck is now starting - Lammens🎉. He was composed today. Hopefully, he goes on to be Man Utd's Courtois. GGMU",en,2025-10-06 03:42:19.886398,Positive,0.25,
All bi-polar comment section bots gather here...,en,2025-10-06 03:42:19.886400,Neutral,0.0,
Dalot should never play for Utd ever again. What he did in the opening few minutes was unforgivable and we were lucky to get away with it but enough is enough,en,2025-10-06 03:42:19.886402,Positive,0.0333333333333333,
People are just noticing this now? Lol,en,2025-10-06 03:42:19.886405,Positive,0.8,
yep but sadly we have no left wingbacks except Dorgu and Dalot,en,2025-10-06 03:42:19.886407,Negative,-0.25,
Bayindir would have conceded both of those shots on target,en,2025-10-06 03:42:19.886409,Neutral,0.0,
Onana would've conceded 5,en,2025-10-06 03:42:19.886411,Neutral,0.0,
I just realized that RA ear is really big 😅😅,en,2025-10-06 03:42:19.886414,Neutral,0.0,
It was a nice English football game ... Senne Lammens is killer ... he screamed at his defenders like Kahn in prime time <3 .... Šeško made it possible to play the simple English long ball and his passing accuracy is fine ...,en,2025-10-06 03:42:19.886416,Positive,0.174074074074074,
Rumour has it Onana is still laughing,en,2025-10-06 03:42:19.886418,Neutral,0.0,
"What a stupid questiom, was the striker brought in to score goals 😂",en,2025-10-06 03:42:19.886421,Negative,-0.7999999999999999,
"Maguire did his best to ruin Lammens debut, by backing and backing off oncoming attacker.",en,2025-10-06 03:42:19.886424,Positive,1.0,
Well played ❤ GK starts every game. He is confident enough and pushes the whole team ❤,en,2025-10-06 03:42:19.886426,Positive,0.075,
"Advise for ManU, get rid of so called underdog coaches or players. You’re better than this and just need proven ones…. When you hire a coach who is not even in the current top 20 top coaches in the world, the results will not make fans happy.",en,2025-10-06 03:42:19.886428,Positive,0.4599999999999999,
The team feel the confidence from SENNE LAMMENS,en,2025-10-06 03:42:19.886441,Neutral,0.0,
"Change your mum  formation,this game should be like 5:0",en,2025-10-06 03:42:19.886461,Negative,-0.4,
Mount 🔥🔥🔥🔥🔥🔥,en,2025-10-06 03:42:19.886464,Neutral,0.0,
Mason Mount  is better than Cunha.,en,2025-10-06 03:42:19.886466,Positive,0.5,
Cunha has been the worst of all summer signings,en,2025-10-06 03:42:19.886468,Negative,-1.0,
Cunha should start from the bench until he improves,en,2025-10-06 03:42:19.886471,Neutral,0.0,
Bench Cunha and Starting Lemmens was the best feelings of today game... Cunha need to learn how to pass the ball to his team mate❤🎉,en,2025-10-06 03:42:19.886481,Positive,0.1999999999999999,
Once the players learn each other  the passing will improve.,en,2025-10-06 03:42:19.886484,Negative,-0.125,
"He's just very eager to get off the mark I think. He's coming back from injury too. The best thing is Cunha has the ability to run past players effortlessly, so we know, soon enough he will score an absolute cracker and he will only keep getting better.",en,2025-10-06 03:42:19.886486,Positive,0.20625,
"He wanted to score, it's been 6-7 games, I don't blame him",en,2025-10-06 03:42:19.886488,Neutral,0.0,
"With Manchester united, I'll never give up, number one is not far from us,GGMU💪❤️",en,2025-10-06 03:42:19.886489,Negative,-0.05,
Mount is thee most intelligent player in the club.,en,2025-10-06 03:42:19.886491,Positive,0.65,
I love how he's so honest! :),en,2025-10-06 03:42:19.886492,Positive,0.5833333333333334,
Lammens fantastic. I guarentee that's one goal conceded with onana or bayandir.,en,2025-10-06 03:42:19.886493,Positive,0.4,
mbuemo a real scam! much worst than antony and sancho,en,2025-10-06 03:42:19.886495,Negative,-0.375,
Mbuemo has more goal contribution in 7 matches than Antony's and Freedome fighter's entire last season at united lmao,en,2025-10-06 03:42:19.886496,Positive,0.275,
"How can someone talk this much ,without talking?",en,2025-10-06 03:42:19.886498,Positive,0.2,
"United stepped up today
Until after Liverpool game, I would rate or asset the keeper 😒",en,2025-10-06 03:42:19.886499,Negative,-0.4,
"A team of the size of United has to pray for Cunha, Mbuemo and Amad don't get injured or else there is nothing else",en,2025-10-06 03:42:19.886500,Neutral,0.0,
Sack this fraud,en,2025-10-06 03:42:19.886502,Neutral,0.0,
More wins after international break ⛓️‍💥,en,2025-10-06 03:42:19.886503,Positive,0.2666666666666666,
"So now that man u won, is because of the system right?",en,2025-10-06 03:42:19.886505,Positive,0.2857142857142857,
Shity Arorim,en,2025-10-06 03:42:19.886506,Neutral,0.0,
We must sign Mbokazi for next season😭🔥❤️,en,2025-10-06 03:42:19.886507,Neutral,0.0,
"Loved Senne, he’s commanding and looks very confident. Play him every game. He’s our future",en,2025-10-06 03:42:19.886509,Positive,0.2375,
This keeper has a bright future if only united curse doesn’t ruin him,en,2025-10-06 03:42:19.886510,Positive,0.2333333333333333,
"The formation worked,mbeumo became weary so fast, kudos to the goalkeeper,he was man of the match,3 points takes us closer to the trophy 🏆🏆",en,2025-10-06 03:42:19.886512,Positive,0.2,
Fair weathered fans all around,en,2025-10-06 03:42:19.886514,Positive,0.7,
My Manager be patient people,en,2025-10-06 03:42:19.886515,Neutral,0.0,
"It's just Sunderland, Liverpool is next, he will be angry again",en,2025-10-06 03:42:19.886516,Negative,-0.25,
No one talks about us when we win.. they talk about us when we lose 😢,en,2025-10-06 03:42:19.886518,Positive,0.8,
I don’t know. He keeps substituting yoro he was a class above all,en,2025-10-06 03:42:19.886519,Neutral,0.0,
"Alot of pained fans will want him gone, but I still believe",en,2025-10-06 03:42:19.886521,Neutral,0.0,
"This is a rebuild and we still have holes in the team, we will lose and draw games but things are going in the right direction. Back the team, when players say we have the best fans in the world it should be true and not just for the away fans, online it should be like that as well. I kno it won’t be but would be great.",en,2025-10-06 03:42:19.886522,Positive,0.4871428571428572,
It's the system,en,2025-10-06 03:42:19.886523,Neutral,0.0,
"Use the same starting 11 please 🙏 huge performance 
Lammens seems to have played pl plenty of years wel dine🎈",en,2025-10-06 03:42:19.886525,Positive,0.1333333333333333,
Man united king🎉,en,2025-10-06 03:42:19.886526,Neutral,0.0,
Ruben king🎉,id,2025-10-06 03:42:19.886528,Neutral,0.0,
Sack him,en,2025-10-06 03:42:19.886529,Neutral,0.0,
"Put in that first half performance for 10 games straight without excuses and maybe the fan base can get behind this guy. Till then, we didn't really learn anything new from this game.",en,2025-10-06 03:42:19.886530,Negative,-0.1225378787878788,
Fan base are already behind him. U need to go join another club.,en,2025-10-06 03:42:19.886532,Negative,-0.6000000000000001,
Mathis De Ligt is a rock at the back,en,2025-10-06 03:42:19.886533,Neutral,0.0,
So No questions today about the system today? 👀 Amorim system is not the problem. The players need to be consistent and not only show when they playing home or against a big team. They lack consistency like in the last 10 years.,en,2025-10-06 03:42:19.886535,Positive,0.0625,
There is no momentum with our team speaks volumes .,en,2025-10-06 03:42:19.886536,Neutral,0.0,
"Shut up please.  It speaks nothing.  The team need a break from media attacks.  The pressure on that game was unbelievable.  They know what happens if they lose that game and it put them even more under pressure. Intensity comes with confidence and confidence comes with more freedom,  more wins and less pressure or negativity.",en,2025-10-06 03:42:19.886538,Positive,0.0729166666666666,
"Sunderland at home, just been promoted, wow just wow",en,2025-10-06 03:42:19.886539,Positive,0.1,
So them being newly promoted means they should always lose?,en,2025-10-06 03:42:19.886540,Positive,0.1363636363636363,
Beat Liverpool next game and we are in title race 🤣,en,2025-10-06 03:42:19.886542,Negative,-0.2,
Consistency is what we need to just win on lose one draw one...on a replay please,en,2025-10-06 03:42:19.886543,Positive,0.8,
United fans bragging but it's only Sunderland 😂,en,2025-10-06 03:42:19.886545,Neutral,0.0,
if this moron drops lammens next game in favor of bayindir this manager needs to be sacked pronto,en,2025-10-06 03:42:19.886546,Negative,-0.4000000000000001,
Let's all accept that this is our best starting lineup let's keep these players and try to get Mainoo in the starting team,en,2025-10-06 03:42:19.886547,Positive,0.3333333333333333,
Dalot out,en,2025-10-06 03:42:19.886549,Neutral,0.0,
"Give Ruben the time he needs. Sir Alex got 4 whole seasons before he started producing. Glory, Glory Man United ❤",en,2025-10-06 03:42:19.886550,Positive,0.2,
His start wasn’t like this let’s be real,en,2025-10-06 03:42:19.886552,Positive,0.2,
SAF finished Bottom 10 in 3 of his first four seasons.,en,2025-10-06 03:42:19.886553,Positive,0.25,
He finished 2 nd in his first full season,en,2025-10-06 03:42:19.886554,Positive,0.3,
@@gggggjjjnd-us3hethen right back down to 11th and then 13th the season after that.,en,2025-10-06 03:42:19.886556,Positive,0.0325396825396825,
"That's my coach amorim you must at Manchester united,I will always be on your side❤❤😊😊",en,2025-10-06 03:42:19.886557,Neutral,0.0,
Lets talk about the system 😂😂😂😂😂,en,2025-10-06 03:42:19.886559,Neutral,0.0,
Do you feel it’s all starting to come together?,en,2025-10-06 03:42:19.886561,Neutral,0.0,
Loving Lammens all our signings are performing well 🔥,en,2025-10-06 03:42:19.886562,Positive,0.6,
Bro thinks he won the league. Now he's going to go on a 3 game losing streak.,en,2025-10-06 03:42:19.886563,Negative,-0.4,
"""Bro"" didn't think anything. He is the most down to earth manager MU had in a long time.",en,2025-10-06 03:42:19.886565,Positive,0.0981481481481481,
This guy has balls!!! Go Amorim!,en,2025-10-06 03:42:19.886566,Neutral,0.0,
It's only Sunderland,en,2025-10-06 03:42:19.886568,Neutral,0.0,
Back the manager and clear house of players not being consistent enough 🤞🏼,en,2025-10-06 03:42:19.886569,Positive,0.0875,
"This guy needs to leave, for the unnecessary heartbreak stupid",en,2025-10-06 03:42:19.886571,Negative,-0.6,
Sack Amorim,en,2025-10-06 03:42:19.886572,Neutral,0.0,
This win only prolong the enivitable,en,2025-10-06 03:42:19.886573,Positive,0.4,
Getting giddy after a win against newly-promoted Sunderland. These man never learn,en,2025-10-06 03:42:19.886575,Positive,0.8,
"If you are not a moron,  you would have known that this newly promoted team has not lost to old teams.  They even beat 
Brentford that dismantled us. Few seasons ago, a newly promoted team in Leicester city was able to beat everybody and lifted the trophy. So do me a favor, shut ur mouth.",en,2025-10-06 03:42:19.886576,Positive,0.1787878787878788,
"Keeper should have been in since he got there. Forget training him and waiting for him to get it's pretty straightforward. He won't get over nerves by not playing. That's on Ruben, that should have been the 1st call he made.",en,2025-10-06 03:42:19.886578,Positive,0.3125,
"If I was him, I would have been asking the media about the system if it's bad again",en,2025-10-06 03:42:19.886579,Negative,-0.6999999999999998,
Hum so the system is no longer the problem anymore 😅😅😅😅 media people never serious,en,2025-10-06 03:42:19.886581,Positive,0.1666666666666666,
"Liverpool just lost...I wonder if the headlines are going to be "" Liverpool identify 5 replacements for under fire  slot""",en,2025-10-06 03:42:19.886582,Neutral,0.0,
"I was very eager to see the new goal keeper, he was really nice in the game",en,2025-10-06 03:42:19.886583,Positive,0.134090909090909,
Garnacho brilliant against Liverpool main target in attack and this fool let him go.,en,2025-10-06 03:42:19.886585,Positive,0.5333333333333333,
This time next year we will be champions Rodney!,en,2025-10-06 03:42:19.886586,Neutral,0.0,
"""There's no momentum with our team 😅""",en,2025-10-06 03:42:19.886588,Neutral,0.0,
Aur new GK is on fire He can be the Best,en,2025-10-06 03:42:19.886590,Positive,0.5681818181818181,
"Sesko, Mbeumo, Yoro and Lammens could be world class 👍🏻

Go United 💪🏻🔴",en,2025-10-06 03:42:19.886591,Neutral,0.0,
Are all you guys for getting about Amad,en,2025-10-06 03:42:19.886592,Neutral,0.0,
We trust you boss! Get us in Europe next season ❤,en,2025-10-06 03:42:19.886594,Neutral,0.0,
Now the goal should be winning more than one game in a row. Next is Liverpool FC at Anfield.,en,2025-10-06 03:42:19.886595,Positive,0.15,
Bring on Liverpool now!,en,2025-10-06 03:42:19.886597,Neutral,0.0,
"This team can rise if they apply Sir Alex's playing philosophy, ""attack is the best defense""",en,2025-10-06 03:42:19.886598,Positive,1.0,
"That's how ruben likes to play, but the team is unbalanced, he needs a few more players and keep on tweaking the system like he has been doing although people seem to not see it",en,2025-10-06 03:42:19.886599,Positive,0.15,
Ruben is the present and the future ❤,en,2025-10-06 03:42:19.886601,Neutral,0.0,
Finally the gaffer will get a break from constant gobshites and ex players. All respect to Ruben ❤,en,2025-10-06 03:42:19.886602,Neutral,0.0,
You can feel his disdain of the press,en,2025-10-06 03:42:19.886604,Neutral,0.0,
Go and be brave in Anfield now. We can get something out of that game for sure.,en,2025-10-06 03:42:19.886605,Positive,0.3,
"One day, we'll beat a team whos not newly promoted or has a red card",en,2025-10-06 03:42:19.886606,Negative,-0.034090909090909,
I'm in a relationship because Manchester United can't make me happy like this all the time...but I might just leave this girl after this😅,en,2025-10-06 03:42:19.886608,Positive,0.8,
_____________Out. Let me know what needs to be fill in the blank. 😅,en,2025-10-06 03:42:19.886609,Neutral,0.0,
"I always trust Ruben, we just need to be patient and give him the time he deserves.",en,2025-10-06 03:42:19.886611,Neutral,0.0,
United forever ❤,en,2025-10-06 03:42:19.886612,Neutral,0.0,
Lammens is that guy. ❤❤❤,en,2025-10-06 03:42:19.886613,Neutral,0.0,
Lammen look very confident. Why don't you start Him 😮,en,2025-10-06 03:42:19.886615,Positive,0.65,
"He did start him, literally. You obviously didn't listen to Ruben as he's just explained why Bayandir was in net the past few games.",en,2025-10-06 03:42:19.886616,Negative,-0.1125,
If Lammens went in without being ready he could be killed in 3 bad matches. So Amorim protected him and once he saw that he was ready he gave him the spot. You should trust managers a bit more.,en,2025-10-06 03:42:19.886618,Positive,3.3306690738754695e-17,
"the best goal from Mount, and well waited one by sesko❤,  thank you very much🎉",en,2025-10-06 03:42:19.886619,Positive,0.6,
"A really important win. 

It's hugely important to get 3 points against our rivals at the bottom of the table, that could make the difference between staying up, or going down at the end of the season.",en,2025-10-06 03:42:19.886620,Positive,0.3611111111111111,
Happy for Ruben. Hopefully he can get some momentum and evolve the team and the formation.  In the end football is a simple game. The players need to win the fight and show their quality.,en,2025-10-06 03:42:19.886622,Positive,0.3,
Not gonna lie... saw the expression on Ruben's face and thought we lost!😅,en,2025-10-06 03:42:19.886623,Neutral,0.0,
"Man United beats Sunderland which beats Brentford which beats Man United
?????",en,2025-10-06 03:42:19.886625,Neutral,0.0,
That's football ⚽️,en,2025-10-06 03:42:19.886626,Neutral,0.0,
the problem is we never we win back 2 back under huben,en,2025-10-06 03:42:19.886628,Positive,0.2666666666666666,
i still don’t believe in lammens cause he played against the weak team. I will believe him if he perform well against liverpool,en,2025-10-06 03:42:19.886629,Negative,-0.375,
I am delighted but we still have to remember their a promoted side,en,2025-10-06 03:42:19.886631,Positive,0.7,
"That has been winning lately, before the game they were number 6",en,2025-10-06 03:42:19.886632,Negative,-0.0666666666666666,
​@@mugisharogers5606We will win the title this season..,en,2025-10-06 03:42:19.886634,Positive,0.8,
Tactical discipline and focus today.,en,2025-10-06 03:42:19.886635,Neutral,0.0,
I wonder why we are not talking about Amad 's performance 🔥,en,2025-10-06 03:42:19.886636,Neutral,0.0,
Replace dalot and shaw and we all finish in top4 for sure,en,2025-10-06 03:42:19.886638,Positive,0.5,
And Maguire,en,2025-10-06 03:42:19.886639,Neutral,0.0,
If u play this game in anfield .....7up wai8ing,en,2025-10-06 03:42:19.886641,Negative,-0.4,
"Yes, I believe in Amorim. Just do it like today.",en,2025-10-06 03:42:19.886642,Neutral,0.0,
Mount is becoming a main man ❤,en,2025-10-06 03:42:19.886644,Positive,0.3083333333333333,
Liverpool next 😭,en,2025-10-06 03:42:19.886645,Neutral,0.0,
Cityzens supporter here I really appreciate what you guys have been able to achieve in today's home fixture if you keep playing this way then the PL championship might be yours CONGRATULATIONS,en,2025-10-06 03:42:19.886647,Positive,0.35,
You never been a city fan,en,2025-10-06 03:42:19.886648,Neutral,0.0,
Lammens what a keeper,en,2025-10-06 03:42:19.886649,Neutral,0.0,
Dalot needs to have better passes. And do not try for goal Dalot !!! Just do your job,en,2025-10-06 03:42:19.886651,Positive,0.9765625,
Well done ✅ lads.. enjoyed every single minute of the game 🎮🎯 today,en,2025-10-06 03:42:19.886652,Positive,0.0095238095238095,
Humorim out!,en,2025-10-06 03:42:19.886653,Neutral,0.0,
He has silently conceded that he needs 3 midfielders. When he talks about Mount you can tell. Also the Mbuemo substituion for Mainoo further confirms this as bringing on Cunha upset the balance.  We cannot play Cunha in that 10 anymore.  Amorim should try Cunha in other positions ie central midfield or wingback.,en,2025-10-06 03:42:19.886655,Negative,-0.03125,
